EXPERIMENT: exp_abx_cycle_hgt_delay_resonance | Status: NO EFFECT | Results: summary.hypothesis_signal.interaction_resonance_mean_auc_excess +0.011528 +/- 0.0020229 (d=0.11, 97.1% sign-consistent); summary.hypothesis_signal.delay_fatigue_resonance_present +0.00074822 +/- 0.00052897 (d=0.03, 100.0% sign-consistent). 2673 seeds, 57 hosts. Last updated: 2026-03-08
EXPERIMENT: exp_voter_modular_consensus | Status: CONFIRMED | Results: strong_modularity_tnorm_gain +2.54412 +/- 0.00838 (d=7.27, 100.0% sign-consistent); strong_modularity_consensus_failure_gain +0.15137 +/- 0.00041 (d=8.86, 100.0% sign-consistent). 1747 seeds, 28 hosts. Last updated: 2026-03-07
EXPERIMENT: exp_galtonwatson_markov_environment_crossover | Status: REJECTED | Results: interior_peak_rate +0.52452 +/- 0.00043 (d=26.25, 100.0% sign-consistent); peak_cv_tau_excess -1.81390 +/- 0.00104 (d=-37.16, 100.0% sign-consistent). 2195 seeds, 26 hosts. Last updated: 2026-03-07
EXPERIMENT: exp_may_heterogeneity_reactivity_localization | Status: CONFIRMED | Results: summary.mean_high_minus_low_window_width +3.96284 +/- 0.00125 (d=82.61, 100.0% sign-consistent); summary.mean_heterogeneity_reactive_ipr_corr +0.81775 +/- 3.92702e-05 (d=544.42, 100.0% sign-consistent). 1463 seeds, 21 hosts. Last updated: 2026-03-06
EXPERIMENT: exp_oregonator_delay_adaptive_illumination_window | Status: REJECTED | Results: summary.mean_window_gain -0.00014 +/- 1.06844e-07 (d=-41.44, 100.0% sign-consistent); summary.mean_adaptive_minus_pulse_score +0.01172 +/- 5.49405e-08 (d=6893.86, 100.0% sign-consistent). 957 seeds, 23 hosts. Last updated: 2026-03-06
EXPERIMENT: exp_muller_ratchet_fluctuating_metapop | Status: CONFIRMED | Results: summary.best_persistent_migration +0.07807 +/- 0.00178 (d=1.61, 99.2% sign-consistent); summary.sync_rescue_gap_mean +3.52682e-06 +/- 3.60407e-05 (d=0.00, 51.8% sign-consistent). 741 seeds, 21 hosts. Last updated: 2026-03-06
EXPERIMENT: exp_kac_edge_correlation_crossover | Status: REJECTED | Results: summary.mean_edge_window_gain -0.01204 +/- 9.77341e-06 (d=-28.08, 100.0% sign-consistent); summary.mean_real_window_gain -0.01056 +/- 5.94978e-07 (d=-404.67, 100.0% sign-consistent). 1923 seeds, 21 hosts. Last updated: 2026-03-06
EXPERIMENT: exp_may_ecosystem_stability_structure | Status: CONFIRMED | Results: summary.mean_modular_vs_random +0.05419 +/- 0.00032 (d=7.47, 100.0% sign-consistent); summary.mean_nested_vs_random -0.02396 +/- 0.00036 (d=-3.01, 99.6% sign-consistent). 501 seeds, 21 hosts. Last updated: 2026-03-06
EXPERIMENT: exp_kuramoto_partial_overlap_anticorrelation | Status: CONFIRMED | Results: hypothesis.anticorrelation_reduces_locking +0.45355 +/- 8.2592e-05 (d=97.67, 100.0% sign-consistent); summary.mid_overlap_anticorr_sync_penalty_mean -0.03357 +/- 0.00010804 (d=-5.53, 100.0% sign-consistent). 3161 seeds, 20 hosts. Last updated: 2026-03-08
EXPERIMENT: exp_sandpile_smallworld_threshold_disorder | Status: CONFIRMED | Results: hypothesis.dense_shortcut_regime_recovers_spanning +0.0040694 +/- 2.3186e-05 (d=3.15, 100.0% sign-consistent); summary.medium_shortcut_mean_span_drop_mean -0.00070306 +/- 2.1121e-06 (d=-5.97, 99.8% sign-consistent). 3111 seeds, 18 hosts. Last updated: 2026-03-08
