Axiom validation log 2026-03-07_0554

Session summary
- Uncredited experiment results seen in DB: 1727
- Sanitized files ready and reviewed: 1271
- Results still waiting on sanitized files: 456
- Credit awarded this session: 10000
- Credited results this session: 1271
- Credit distribution: 1103 results at 8 credit, 168 results at 7 credit
- Experiment mix reviewed: may_heterogeneity_reactivity_localization 735, trophic_coherence_reactivity_localization 257, may_ecosystem_stability_structure 244, muller_ratchet_fluctuating_metapop 35

Cleanup and failure review
- Stuck task cleanup query affected 0 rows
- No experiment script changes were made
- No active experiment was aborted: recent failures for trophic_coherence_reactivity_localization and may_ecosystem_stability_structure were outcome 5/6 rows without stderr tracebacks, so this pass did not show a reproducible script crash to justify aborting active work

Per-user totals after credit update
- user 1: +626 this session -> total_credit 23814.645579000007
- user 10: +513 this session -> total_credit 31451.48600000001
- user 22: +32 this session -> total_credit 2041.0
- user 40: +3824 this session -> total_credit 741206.4271749984
- user 56: +1296 this session -> total_credit 157102.62
- user 67: +160 this session -> total_credit 4650.936
- user 88: +2558 this session -> total_credit 9615.5
- user 90: +739 this session -> total_credit 70196.52100000001
- user 127: +252 this session -> total_credit 12354.199999999993

Results reviewed this session
- result 1804087 (host 195): exp_may_ecosystem_stability_structure_37a613_2 — elapsed 938.794s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804088 (host 195): exp_may_ecosystem_stability_structure_da1e09_2 — elapsed 954.436s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804089 (host 195): exp_may_ecosystem_stability_structure_40067a_2 — elapsed 929.012s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804090 (host 195): exp_may_ecosystem_stability_structure_cf59ce_2 — elapsed 917.331s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804091 (host 195): exp_may_ecosystem_stability_structure_aa33ce_2 — elapsed 914.814s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804092 (host 195): exp_may_ecosystem_stability_structure_d7ac74_2 — elapsed 940.929s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804093 (host 195): exp_may_ecosystem_stability_structure_cfeaa6_2 — elapsed 1099.549s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804094 (host 195): exp_may_ecosystem_stability_structure_2dcd4e_2 — elapsed 882.810s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804095 (host 195): exp_may_ecosystem_stability_structure_626add_2 — elapsed 927.952s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804096 (host 195): exp_may_ecosystem_stability_structure_00a856_2 — elapsed 909.452s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804097 (host 195): exp_may_ecosystem_stability_structure_ee9d06_2 — elapsed 893.622s, 40 numeric values, distinct 39, multi_measurement_payload, 40_values -> 7 credit
- result 1804098 (host 195): exp_may_ecosystem_stability_structure_48eeea_2 — elapsed 1110.897s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804099 (host 195): exp_may_ecosystem_stability_structure_7b223e_2 — elapsed 1053.938s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804100 (host 195): exp_may_ecosystem_stability_structure_54ff5c_2 — elapsed 875.148s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804101 (host 333): exp_may_ecosystem_stability_structure_94b078_2 — elapsed 850.484s, 124 numeric values, distinct 123, large_numeric_payload, 124_values -> 8 credit
- result 1804102 (host 195): exp_may_ecosystem_stability_structure_a68509_2 — elapsed 967.785s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804103 (host 195): exp_may_ecosystem_stability_structure_aa46af_2 — elapsed 957.359s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804104 (host 195): exp_may_ecosystem_stability_structure_863cc5_2 — elapsed 973.189s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804105 (host 195): exp_may_ecosystem_stability_structure_b489db_2 — elapsed 967.243s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804106 (host 195): exp_may_ecosystem_stability_structure_fae8e6_2 — elapsed 978.025s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804107 (host 195): exp_may_ecosystem_stability_structure_603212_2 — elapsed 961.414s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
- result 1804108 (host 195): exp_may_ecosystem_stability_structure_547342_2 — elapsed 1032.203s, 47 numeric values, distinct 46, multi_measurement_payload, 47_values -> 7 credit
