Axiom validation log 2026-03-08_2157

Session summary
- Results processed: 2972
- Batch 1 recovered from partial run: 2900 rows at mod_time 2026-03-08 21:53:53
- Batch 2 processed directly: 72 rows
- Denied sentinel (0.01): 540
- Denied empty_payload: 162
- Denied retired_experiment: 365
- Denied stub_filter: 13

Sampling and review notes
- Spot-checked 200 sanitized JSON files for payload quality and cross-host duplication
- No cross-host duplicate payloads were found in the sample
- Denied structural empty payloads when sanitized JSON lacked top-level experiment data
- Retired experiment families were denied per retired_experiments.txt

Results reviewed this session
- result 1932432 (host 87): exp_minority_game_delay_memory_interaction_0107a9_0 — nbytes=34623, elapsed=909.4s, payload=ok -> 4.40 credit
- result 1932507 (host 230): exp_minority_game_delay_memory_interaction_05ed6b_0 — nbytes=34604, elapsed=544.2s, payload=ok -> 4.40 credit
- result 1932513 (host 230): exp_minority_game_delay_memory_interaction_60a291_0 — nbytes=34617, elapsed=546.3s, payload=ok -> 4.40 credit
- result 1932514 (host 87): exp_minority_game_delay_memory_interaction_01a3e8_0 — nbytes=34593, elapsed=90.5s, payload=ok -> 4.39 credit
- result 1932591 (host 85): exp_minority_game_delay_memory_interaction_74dba6_0 — nbytes=34611, elapsed=216.1s, payload=ok -> 4.40 credit
- result 1932651 (host 140): exp_minority_game_delay_memory_interaction_dcc67a_0 — nbytes=33240, elapsed=904.8s, payload=ok -> 4.22 credit
- result 1932653 (host 140): exp_minority_game_delay_memory_interaction_4c8f99_0 — nbytes=33187, elapsed=544.9s, payload=ok -> 4.22 credit
- result 1932723 (host 15): exp_minority_game_delay_memory_interaction_71f912_0 — nbytes=34628, elapsed=883.0s, payload=ok -> 4.40 credit
- result 1932731 (host 15): exp_minority_game_delay_memory_interaction_aeeeab_0 — nbytes=34624, elapsed=886.1s, payload=ok -> 4.40 credit
- result 1932771 (host 102): exp_minority_game_delay_memory_interaction_9ac4eb_0 — nbytes=34617, elapsed=848.7s, payload=ok -> 4.40 credit
- result 1932778 (host 102): exp_minority_game_delay_memory_interaction_d6db5e_0 — nbytes=34630, elapsed=854.0s, payload=ok -> 4.40 credit
- result 1932779 (host 102): exp_minority_game_delay_memory_interaction_1baeca_0 — nbytes=34632, elapsed=867.4s, payload=ok -> 4.40 credit
- result 1932837 (host 230): exp_minority_game_delay_memory_interaction_3e2c43_0 — nbytes=34573, elapsed=545.4s, payload=ok -> 4.39 credit
- result 1932885 (host 230): exp_minority_game_delay_memory_interaction_d64b49_0 — nbytes=34660, elapsed=904.2s, payload=ok -> 4.40 credit
- result 1932899 (host 230): exp_minority_game_delay_memory_interaction_81ff9b_0 — nbytes=34652, elapsed=902.2s, payload=ok -> 4.40 credit
- result 1932904 (host 230): exp_minority_game_delay_memory_interaction_d2d479_0 — nbytes=34603, elapsed=909.3s, payload=ok -> 4.40 credit
- result 1932936 (host 230): exp_minority_game_delay_memory_interaction_79cfa7_0 — nbytes=34641, elapsed=908.4s, payload=ok -> 4.40 credit
- result 1932942 (host 230): exp_minority_game_delay_memory_interaction_0eb4de_0 — nbytes=34633, elapsed=912.3s, payload=ok -> 4.40 credit
- result 1932994 (host 230): exp_minority_game_delay_memory_interaction_8bc589_0 — nbytes=34597, elapsed=915.4s, payload=ok -> 4.40 credit
- result 1933008 (host 230): exp_minority_game_delay_memory_interaction_5c0184_0 — nbytes=34626, elapsed=852.7s, payload=ok -> 4.40 credit
- result 1933054 (host 230): exp_minority_game_delay_memory_interaction_c278d3_0 — nbytes=34633, elapsed=546.4s, payload=ok -> 4.40 credit
- result 1933067 (host 85): exp_minority_game_delay_memory_interaction_f96e3f_0 — nbytes=34614, elapsed=89.1s, payload=ok -> 4.40 credit
- result 1933087 (host 87): exp_minority_game_delay_memory_interaction_77577b_0 — nbytes=34617, elapsed=93.8s, payload=ok -> 4.40 credit
- result 1933090 (host 87): exp_minority_game_delay_memory_interaction_6c0625_0 — nbytes=34633, elapsed=89.3s, payload=ok -> 4.40 credit
- result 1933099 (host 85): exp_minority_game_delay_memory_interaction_496b29_0 — nbytes=34636, elapsed=89.1s, payload=ok -> 4.40 credit
- result 1933180 (host 230): exp_minority_game_delay_memory_interaction_7fa19c_0 — nbytes=34599, elapsed=545.2s, payload=ok -> 4.40 credit
- result 1933237 (host 85): exp_minority_game_delay_memory_interaction_9ac112_0 — nbytes=34612, elapsed=89.1s, payload=ok -> 4.40 credit
- result 1933249 (host 85): exp_minority_game_delay_memory_interaction_ffe5ba_0 — nbytes=34594, elapsed=89.1s, payload=ok -> 4.39 credit
- result 1933256 (host 85): exp_minority_game_delay_memory_interaction_e665b3_0 — nbytes=34604, elapsed=180.4s, payload=ok -> 4.40 credit
- result 1933261 (host 87): exp_minority_game_delay_memory_interaction_d145fe_0 — nbytes=34628, elapsed=89.6s, payload=ok -> 4.40 credit
- result 1933263 (host 87): exp_minority_game_delay_memory_interaction_3f1634_0 — nbytes=34635, elapsed=97.0s, payload=ok -> 4.40 credit
- result 1933268 (host 87): exp_minority_game_delay_memory_interaction_8c9f89_0 — nbytes=34608, elapsed=89.6s, payload=ok -> 4.40 credit
- result 1933274 (host 87): exp_minority_game_delay_memory_interaction_2b0d9b_0 — nbytes=34579, elapsed=93.5s, payload=ok -> 4.39 credit
- result 1933278 (host 87): exp_minority_game_delay_memory_interaction_30fcef_0 — nbytes=34599, elapsed=88.3s, payload=ok -> 4.40 credit
- result 1933283 (host 87): exp_minority_game_delay_memory_interaction_a6a0c7_0 — nbytes=34636, elapsed=56.4s, payload=ok -> 4.40 credit
- result 1933312 (host 87): exp_minority_game_delay_memory_interaction_e37ebe_0 — nbytes=34615, elapsed=97.0s, payload=ok -> 4.40 credit
